,CBSA,POPESTIMATE,variable,value,age,sex,GEOID,NAME,INTPTLAT,INTPTLONG
214,10780,150890,AGE4044_MALE,4793,40-44,MALE,10780,"Alexandria, LA",31.325348,-92.546803
215,10780,150890,AGE4044_FEMALE,4690,40-44,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
216,10780,150890,AGE4549_TOTAL,8433,45-49,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
217,10780,150890,AGE4549_MALE,4190,45-49,MALE,10780,"Alexandria, LA",31.325348,-92.546803
218,10780,150890,AGE4549_FEMALE,4243,45-49,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
219,10780,150890,AGE5054_TOTAL,8880,50-54,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
220,10780,150890,AGE5054_MALE,4338,50-54,MALE,10780,"Alexandria, LA",31.325348,-92.546803
221,10780,150890,AGE5054_FEMALE,4542,50-54,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
222,10780,150890,AGE5559_TOTAL,9764,55-59,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
223,10780,150890,AGE5559_MALE,4658,55-59,MALE,10780,"Alexandria, LA",31.325348,-92.546803
224,10780,150890,AGE5559_FEMALE,5106,55-59,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
225,10780,150890,AGE6064_TOTAL,9711,60-64,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
226,10780,150890,AGE6064_MALE,4726,60-64,MALE,10780,"Alexandria, LA",31.325348,-92.546803
227,10780,150890,AGE6064_FEMALE,4985,60-64,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
228,10780,150890,AGE65PLUS_TOTAL,25280,65+,TOTAL,10780,"Alexandria, LA",31.325348,-92.546803
229,10780,150890,AGE65PLUS_MALE,11138,65+,MALE,10780,"Alexandria, LA",31.325348,-92.546803
230,10780,150890,AGE65PLUS_FEMALE,14142,65+,FEMALE,10780,"Alexandria, LA",31.325348,-92.546803
