,USPS,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
380,FL,Sumter County,28.715444,-82.069952,135638
381,FL,Suwannee County,30.189244,-82.992754,44485
382,FL,Taylor County,29.967146,-83.639573,21815
383,FL,Union County,30.05428,-82.366918,16335
384,FL,Volusia County,29.057769,-81.161792,564412
385,FL,Wakulla County,30.091335,-84.359111,34690
386,FL,Walton County,30.571247,-86.162798,80069
387,FL,Washington County,30.602102,-85.655805,25436
388,GA,Appling County,31.739712,-82.290103,18488
389,GA,Atkinson County,31.296806,-82.878151,8391
390,GA,Bacon County,31.55021,-82.451433,11079
391,GA,Baker County,31.31958,-84.454881,2819
392,GA,Baldwin County,33.05949,-83.255457,43781
393,GA,Banks County,34.351922,-83.498441,18562
394,GA,Barrow County,33.992009,-83.712303,86658
395,GA,Bartow County,34.240917,-84.838188,110843
396,GA,Ben Hill County,31.740772,-83.147197,17158
397,GA,Berrien County,31.288652,-83.22787,18147
398,GA,Bibb County,32.808845,-83.694194,156762
399,GA,Bleckley County,32.435403,-83.331717,12607
400,GA,Brantley County,31.197334,-81.982978,18101
401,GA,Brooks County,30.822934,-83.581905,16270
402,GA,Bryan County,32.017969,-81.438543,46938
403,GA,Bulloch County,32.394481,-81.741618,82442
404,GA,Burke County,33.060181,-82.000164,24310
405,GA,Butts County,33.290355,-83.958221,25781
406,GA,Calhoun County,31.521279,-84.62629,5509
407,GA,Camden County,30.913358,-81.642019,55664
408,GA,Candler County,32.40395,-82.071266,11037
409,GA,Carroll County,33.582237,-85.080527,121968
410,GA,Catoosa County,34.900212,-85.139385,68397
411,GA,Charlton County,30.779904,-82.139644,12766
412,GA,Chatham County,31.980404,-81.085184,296329
413,GA,Chattahoochee County,32.347445,-84.788021,9048
414,GA,Chattooga County,34.474178,-85.345289,24932
415,GA,Cherokee County,34.244317,-84.475057,274615
416,GA,Clarke County,33.952185,-83.367152,128711
417,GA,Clay County,31.619831,-84.992583,2882
418,GA,Clayton County,33.542686,-84.355573,297100
419,GA,Clinch County,30.917653,-82.702614,6725
420,GA,Cobb County,33.939929,-84.574121,766802
421,GA,Coffee County,31.549245,-82.84494,43386
422,GA,Colquitt County,31.189707,-83.769773,45812
423,GA,Columbia County,33.552075,-82.249608,159639
424,GA,Cook County,31.152516,-83.429445,17225
425,GA,Coweta County,33.352897,-84.762138,149956
426,GA,Crawford County,32.709428,-83.979187,12153
427,GA,Crisp County,31.920268,-83.75653,19879
428,GA,Dade County,34.852424,-85.506201,16326
429,GA,Dawson County,34.442608,-84.173261,28497
430,GA,Decatur County,30.880643,-84.58389,29038
431,GA,DeKalb County,33.770661,-84.226343,757718
432,GA,Dodge County,32.164369,-83.167866,19759
433,GA,Dooly County,32.151995,-83.807167,10885
434,GA,Dougherty County,31.532588,-84.20904,84844
435,GA,Douglas County,33.701242,-84.767314,145814
436,GA,Early County,31.324191,-84.906723,10619
437,GA,Echols County,30.714008,-82.897376,3699
438,GA,Effingham County,32.361688,-81.343355,66741
439,GA,Elbert County,34.116413,-82.841909,19579
440,GA,Emanuel County,32.5911,-82.299763,22716
441,GA,Evans County,32.153083,-81.890153,10672
442,GA,Fannin County,34.866543,-84.317331,25817
443,GA,Fayette County,33.412717,-84.493941,120574
444,GA,Floyd County,34.263692,-85.213685,98771
445,GA,Forsyth County,34.225143,-84.127408,260206
446,GA,Franklin County,34.375266,-83.227532,23785
447,GA,Fulton County,33.790034,-84.468182,1065334
448,GA,Gilmer County,34.690506,-84.454624,32026
449,GA,Glascock County,33.227491,-82.606913,2919
450,GA,Glynn County,31.21271,-81.49645,84739
451,GA,Gordon County,34.509667,-84.873862,58237
452,GA,Grady County,30.875908,-84.24508,25918
453,GA,Greene County,33.576704,-83.166625,19536
454,GA,Gwinnett County,33.958756,-84.025735,964546
455,GA,Habersham County,34.634392,-83.525875,46774
456,GA,Hall County,34.317569,-83.8185,207369
457,GA,Hancock County,33.26922,-83.000465,8630
458,GA,Haralson County,33.795165,-85.220063,30572
459,GA,Harris County,32.731549,-84.912432,35626
460,GA,Hart County,34.348733,-82.96329,26409
461,GA,Heard County,33.291347,-85.137886,11565
