,CBSA,AGE,FEMALE,MALE,TOTAL,NAME,INTPTLAT,INTPTLONG,POPESTIMATE
270,11140,45-49,1025,849,1874,"Americus, GA",32.098355,-84.224304,33761
271,11140,50-54,1108,981,2089,"Americus, GA",32.098355,-84.224304,33761
272,11140,55-59,1129,994,2123,"Americus, GA",32.098355,-84.224304,33761
273,11140,60-64,1103,950,2053,"Americus, GA",32.098355,-84.224304,33761
274,11140,65+,3342,2577,5919,"Americus, GA",32.098355,-84.224304,33761
275,11180,15-19,6041,6817,12858,"Ames, IA",42.036128,-93.698008,126195
276,11180,20-24,9678,12511,22189,"Ames, IA",42.036128,-93.698008,126195
277,11180,25-29,4020,5204,9224,"Ames, IA",42.036128,-93.698008,126195
278,11180,30-34,3484,3795,7279,"Ames, IA",42.036128,-93.698008,126195
279,11180,35-39,3294,3616,6910,"Ames, IA",42.036128,-93.698008,126195
280,11180,40-44,3317,3545,6862,"Ames, IA",42.036128,-93.698008,126195
281,11180,45-49,2793,3018,5811,"Ames, IA",42.036128,-93.698008,126195
282,11180,50-54,2773,3016,5789,"Ames, IA",42.036128,-93.698008,126195
283,11180,55-59,3199,3166,6365,"Ames, IA",42.036128,-93.698008,126195
284,11180,60-64,3474,3450,6924,"Ames, IA",42.036128,-93.698008,126195
285,11180,65+,9704,8344,18048,"Ames, IA",42.036128,-93.698008,126195
286,11220,15-19,1431,1643,3074,"Amsterdam, NY",42.900891,-74.435357,49558
287,11220,20-24,1339,1374,2713,"Amsterdam, NY",42.900891,-74.435357,49558
288,11220,25-29,1458,1487,2945,"Amsterdam, NY",42.900891,-74.435357,49558
289,11220,30-34,1549,1606,3155,"Amsterdam, NY",42.900891,-74.435357,49558
290,11220,35-39,1649,1565,3214,"Amsterdam, NY",42.900891,-74.435357,49558
291,11220,40-44,1437,1427,2864,"Amsterdam, NY",42.900891,-74.435357,49558
292,11220,45-49,1358,1355,2713,"Amsterdam, NY",42.900891,-74.435357,49558
293,11220,50-54,1568,1557,3125,"Amsterdam, NY",42.900891,-74.435357,49558
294,11220,55-59,1709,1642,3351,"Amsterdam, NY",42.900891,-74.435357,49558
295,11220,60-64,1770,1658,3428,"Amsterdam, NY",42.900891,-74.435357,49558
296,11220,65+,5008,4464,9472,"Amsterdam, NY",42.900891,-74.435357,49558
297,11260,15-19,11893,13241,25134,"Anchorage, AK",62.212784,-149.678222,398807
298,11260,20-24,11862,15115,26977,"Anchorage, AK",62.212784,-149.678222,398807
299,11260,25-29,14428,16134,30562,"Anchorage, AK",62.212784,-149.678222,398807
300,11260,30-34,15900,16703,32603,"Anchorage, AK",62.212784,-149.678222,398807
301,11260,35-39,15148,16092,31240,"Anchorage, AK",62.212784,-149.678222,398807
302,11260,40-44,12632,13242,25874,"Anchorage, AK",62.212784,-149.678222,398807
303,11260,45-49,10927,11781,22708,"Anchorage, AK",62.212784,-149.678222,398807
304,11260,50-54,11412,12054,23466,"Anchorage, AK",62.212784,-149.678222,398807
305,11260,55-59,11900,12312,24212,"Anchorage, AK",62.212784,-149.678222,398807
306,11260,60-64,11705,12139,23844,"Anchorage, AK",62.212784,-149.678222,398807
307,11260,65+,26091,24499,50590,"Anchorage, AK",62.212784,-149.678222,398807
308,11380,15-19,701,747,1448,"Andrews, TX",32.312258,-102.640206,18440
309,11380,20-24,554,579,1133,"Andrews, TX",32.312258,-102.640206,18440
310,11380,25-29,584,653,1237,"Andrews, TX",32.312258,-102.640206,18440
311,11380,30-34,672,746,1418,"Andrews, TX",32.312258,-102.640206,18440
312,11380,35-39,660,735,1395,"Andrews, TX",32.312258,-102.640206,18440
313,11380,40-44,532,625,1157,"Andrews, TX",32.312258,-102.640206,18440
314,11380,45-49,513,547,1060,"Andrews, TX",32.312258,-102.640206,18440
315,11380,50-54,536,490,1026,"Andrews, TX",32.312258,-102.640206,18440
316,11380,55-59,454,516,970,"Andrews, TX",32.312258,-102.640206,18440
317,11380,60-64,424,500,924,"Andrews, TX",32.312258,-102.640206,18440
318,11380,65+,984,835,1819,"Andrews, TX",32.312258,-102.640206,18440
319,11420,15-19,1081,1311,2392,"Angola, IN",41.643467,-85.002405,34632
320,11420,20-24,995,1306,2301,"Angola, IN",41.643467,-85.002405,34632
321,11420,25-29,875,932,1807,"Angola, IN",41.643467,-85.002405,34632
322,11420,30-34,941,969,1910,"Angola, IN",41.643467,-85.002405,34632
323,11420,35-39,852,894,1746,"Angola, IN",41.643467,-85.002405,34632
324,11420,40-44,874,904,1778,"Angola, IN",41.643467,-85.002405,34632
325,11420,45-49,961,965,1926,"Angola, IN",41.643467,-85.002405,34632
326,11420,50-54,1103,1163,2266,"Angola, IN",41.643467,-85.002405,34632
